smiles,canonical_smiles,inchi_key,pka,task,source,temperature,method,split,notes
FC1(=CC(=CC=C1)CN2(C=C(C(=O)N)C(C#N)C=C2)),FC1(=CC(=CC=C1)CN2(C=C(C(=O)N)C(C#N)C=C2)),XQOSFQKVWWUQEY-UHFFFAOYSA-N,0.68,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
OC1(=[NH+]C(=CN=C1C2(=CC=CC=C2))C),OC1(=[NH+]C(=CN=C1C2(=CC=CC=C2))C),GVDVWMAMSQPUDQ-UHFFFAOYSA-N,0.7,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
O[N+]1(=CC=CC=C1),O[N+]1(=CC=CC=C1),DEINLRGVTJVCOS-UHFFFAOYSA-N,0.77,acidic,RES200_Opt1_acidic,24.0,mean from 3,train,
SC=1(C=2(C([NH+]=CC=1)=CC=CC=2)),SC=1(C=2(C([NH+]=CC=1)=CC=CC=2)),ROYCCMJSURLMLI-UHFFFAOYSA-N,0.77,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C1(N(C(C(=O)O)=CC(N1C)=O)C),O=C1(N(C(C(=O)O)=CC(N1C)=O)C),ZXDYFTWNWCMEOS-UHFFFAOYSA-N,0.8,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
S(C1(=[N+](C(O)=CC=N1)C))CC,S(C1(=[N+](C(O)=CC=N1)C))CC,VGFDVXGBZMECHY-UHFFFAOYSA-O,0.9,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O=C(O)C1(=[NH+]C(=CC=C1)C),O=C(O)C1(=[NH+]C(=CC=C1)C),LTUUGSGSUZRPRV-UHFFFAOYSA-N,0.9,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
S=C(O)NCC,S=C(O)NCC,MDPAAGYNXXEGKJ-UHFFFAOYSA-N,0.92,acidic,RES200_Opt1_acidic,25.0,,train,
O[N+]1(=C([NH+]=C2(N=CNC2(=C1N)))N),O[N+]1(=C([NH+]=C2(N=CNC2(=C1N)))N),DFHCVINAZNYTFH-UHFFFAOYSA-O,1.0,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O[N+]2(=CC=C(C=CC1(=CC=C([NH+](C)C)C=C1))C=C2),O[N+]2(=CC=C(C=CC1(=CC=C([NH+](C)C)C=C1))C=C2),XTBMQKIWSTZEGG-UHFFFAOYSA-N,1.05,acidic,RES200_Opt1_acidic,24.85,spectrophotometric,train,
OC1(=CN=[NH+]C=C1),OC1(=CN=[NH+]C=C1),VHVUTJZQFZBIRR-UHFFFAOYSA-N,1.07,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C(O)C1(=C([NH+]=NC(=C1)C2(=CC=CC=C2))NCC[NH+]3(CCOCC3)),O=C(O)C1(=C([NH+]=NC(=C1)C2(=CC=CC=C2))NCC[NH+]3(CCOCC3)),JAEOCKSFMAVRDL-UHFFFAOYSA-N,1.1,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
O[N+]=1(C=3(C(N=C2(C=1C=CC=C2))=CC=CC=3)),O[N+]=1(C=3(C(N=C2(C=1C=CC=C2))=CC=CC=3)),JIDKFJCPUCPXGX-UHFFFAOYSA-N,1.12,acidic,RES200_Opt1_acidic,23.0,spectrophotometric,train,
O=C2(C1(=C(O)[NH+]=CN=C1C(=O)C3(=C2N=C(C)N3C))),O=C2(C1(=C(O)[NH+]=CN=C1C(=O)C3(=C2N=C(C)N3C))),FKHYFHLCLOJQBU-UHFFFAOYSA-N,1.15,acidic,RES200_Opt1_acidic,30.0,spectrophotometric,train,
OC1(=[NH+]C(O)=CC(=[NH+]1)C),OC1(=[NH+]C(O)=CC(=[NH+]1)C),SHVCSCWHWMSGTE-UHFFFAOYSA-N,1.2,acidic,RES200_Opt1_acidic,,potentiometric,train,
S(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),S(=O)(O)C1(=CC([N+](=O)[O-])=CC=C1),AVHXRJBDMUSUCQ-UHFFFAOYSA-N,1.21,acidic,RES200_Opt1_acidic,25.0,mean from 2,train,
O=C(O)C(=O)C1(=CC=CC=C1),O=C(O)C(=O)C1(=CC=CC=C1),FAQJJMHZNSSFSM-UHFFFAOYSA-N,1.22,acidic,RES200_Opt1_acidic,25.0,mean from 3,train,
O=C(O)C1(=[NH+]C=CC=C1),O=C(O)C1(=[NH+]C=CC=C1),SIOXPEMLGUPBBT-UHFFFAOYSA-N,1.25,acidic,RES200_Opt1_acidic,23.0,mean from 9,train,
O=C(O)C=O,O=C(O)C=O,HHLFWLYXYJOTON-UHFFFAOYSA-N,1.26,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
O[N+]1(=CC=C(C)C=C1),O[N+]1(=CC=C(C)C=C1),KBWCJCSTDQPGLN-UHFFFAOYSA-N,1.29,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
O=C(O)CC([NH3+])C1(=[NH+]C=CC=C1),O=C(O)CC([NH3+])C1(=[NH+]C=CC=C1),XBQMNJLDUCGMBD-UHFFFAOYSA-N,1.3,acidic,RES200_Opt1_acidic,23.0,potentiometric,train,
OC=1([NH+]=CC2(=CC=CC=C2(N=1))),OC=1([NH+]=CC2(=CC=CC=C2(N=1))),AVRPFRMDMNDIDH-UHFFFAOYSA-N,1.3,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=C(O)C1(=[NH+]C=CC=C1N),O=C(O)C1(=[NH+]C=CC=C1N),BOOMHTFCWOJWFO-UHFFFAOYSA-N,1.33,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C1(OC(=O)C(C(=O)C)C(=C1)C),O=C1(OC(=O)C(C(=O)C)C(=C1)C),HURSXDKEYMJYED-UHFFFAOYSA-N,1.34,acidic,RES200_Opt1_acidic,20.0,potentiometric,train,
O=C(O)C(=O)C1(=CC(=C(C)C=C1)C),O=C(O)C(=O)C1(=CC(=C(C)C=C1)C),ISPFBCQRXZHOGR-UHFFFAOYSA-N,1.36,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O[N+]=1(C=3(C(C=C2(C=1C=CC=C2))=CC=CC=3)),O[N+]=1(C=3(C(C=C2(C=1C=CC=C2))=CC=CC=3)),PTPCXXSKXGSYBD-UHFFFAOYSA-N,1.37,acidic,RES200_Opt1_acidic,23.0,spectrophotometric,train,
O=C(O)C1(=C([NH+](C)C)C=CC=C1),O=C(O)C1(=C([NH+](C)C)C=CC=C1),DVVXXHVHGGWWPE-UHFFFAOYSA-N,1.4,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=[N+]([O-])C=2(C=1(C(=NC=CC=1)C(C(=O)O)=CC=2)),O=[N+]([O-])C=2(C=1(C(=NC=CC=1)C(C(=O)O)=CC=2)),HXHZCOASPJWXPP-UHFFFAOYSA-N,1.41,acidic,RES200_Opt1_acidic,,potentiometric,train,
ClC1(=C(C([N+](=O)[O-])=CC=C1)C(=O)O),ClC1(=C(C([N+](=O)[O-])=CC=C1)C(=O)O),JYHOMEFOTKWQPN-UHFFFAOYSA-N,1.41,acidic,RES200_Opt1_acidic,25.0,mean from 2,train,
O=C(O)C(=O)C1(=C(C=CC(=C1)C)C),O=C(O)C(=O)C1(=C(C=CC(=C1)C)C),NDYSRCJHIBVQTC-UHFFFAOYSA-N,1.45,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(C2(=NC1(=C(O)[NH+]=C(N)N=C1NC2)))C(O)C,O=C(C2(=NC1(=C(O)[NH+]=C(N)N=C1NC2)))C(O)C,FYDGMRRMOMSOLR-UHFFFAOYSA-N,1.45,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
N#CC=1(N=NNC=1C#N),N#CC=1(N=NNC=1C#N),IVANFNGOSJTZFM-UHFFFAOYSA-N,1.47,acidic,RES200_Opt1_acidic,25.0,conductometric,train,
ClC(=NO)C(=O)O,ClC(=NO)C(=O)O,RPAJUFYQIGWMBB-UHFFFAOYSA-N,1.5,acidic,RES200_Opt1_acidic,20.0,mean from 2,train,
O=C1(C=C(OC=C1)C(=O)O),O=C1(C=C(OC=C1)C(=O)O),UFMDRPPBUAPWBK-UHFFFAOYSA-N,1.5,acidic,RES200_Opt1_acidic,25.0,conductometric,train,
O=C1(C=C(OC(=C1)C(=O)O)C2(=CC=CC=C2)),O=C1(C=C(OC(=C1)C(=O)O)C2(=CC=CC=C2)),ZBLMDHRGZBRWNO-UHFFFAOYSA-N,1.51,acidic,RES200_Opt1_acidic,25.0,conductometric,train,
S1(C[NH+](C)C(C1)C(=O)O),S1(C[NH+](C)C(C1)C(=O)O),VRAKCJWPVLDUSG-UHFFFAOYSA-N,1.51,acidic,RES200_Opt1_acidic,24.0,potentiometric,train,
O=C(O)C(=O)C1(=CC=C(C)C=C1),O=C(O)C(=O)C1(=CC=C(C)C=C1),UIIIPQVTXBPHTI-UHFFFAOYSA-N,1.52,acidic,RES200_Opt1_acidic,,potentiometric,train,
S1(C(=NC=C1)N=NC2(=C(O)C=C(O)C=C2)),S1(C(=NC=C1)N=NC2(=C(O)C=C(O)C=C2)),SHNIKUXMZFPPCS-UHFFFAOYSA-N,1.56,acidic,RES200_Opt1_acidic,20.0,potentiometric,train,
ClC2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),ClC2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),SZJVKIBTWWUTTK-UHFFFAOYSA-N,1.59,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
O=[N+]([O-])C2(=C1(N=NN(C1=CC(=C2)[N+](=O)[O-])O)),O=[N+]([O-])C2(=C1(N=NN(C1=CC(=C2)[N+](=O)[O-])O)),NYRLDLUBCJTICL-UHFFFAOYSA-N,1.6,acidic,RES200_Opt1_acidic,30.0,spectrophotometric,train,
O(C1(=[NH+]C(O)=CC(=N1)C))C,O(C1(=[NH+]C(O)=CC(=N1)C))C,CRYUGFDHGVCIJW-UHFFFAOYSA-N,1.6,acidic,RES200_Opt1_acidic,,potentiometric,train,
[Br]C2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),[Br]C2(=NN(C1(=NC([N+](=O)[O-])=NN1))C=N2),IQBZCQBIJVBEDH-UHFFFAOYSA-N,1.63,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
P(=O)(O)C1(=CC=CC=C1),P(=O)(O)C1(=CC=CC=C1),MLCHBQKMVKNBOV-UHFFFAOYSA-N,1.63,acidic,RES200_Opt1_acidic,20.0,mean from 2,train,
O=C(O)C#CC#CC#CCC,O=C(O)C#CC#CC#CCC,KJCTYMBMJUFPNN-UHFFFAOYSA-N,1.67,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C([NH3+])CC1(=C[NH+]=CC=C1),O=C(O)C([NH3+])CC1(=C[NH+]=CC=C1),PUKKLOIYGGUDIZ-UHFFFAOYSA-N,1.69,acidic,RES200_Opt1_acidic,23.0,potentiometric,train,
OC1(=[NH+]C(=CN=C1CC(C)C)CC(C)C),OC1(=[NH+]C(=CN=C1CC(C)C)CC(C)C),UYYRKEKHAYEACU-UHFFFAOYSA-N,1.7,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O=[N+]([O-])NC=1(N=NN(N=1)C),O=[N+]([O-])NC=1(N=NN(N=1)C),RDIQHTSMBPQBIR-UHFFFAOYSA-N,1.7,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C1(=CC=[NH+]C=C1),O=C(O)C1(=CC=[NH+]C=C1),TWBYWOBDOCUKOW-UHFFFAOYSA-N,1.71,acidic,RES200_Opt1_acidic,23.0,mean from 8,train,
S(=O)(O)C1(=CC=CC=C1),S(=O)(O)C1(=CC=CC=C1),JEHKKBHWRAXMCH-UHFFFAOYSA-N,1.72,acidic,RES200_Opt1_acidic,24.0,mean from 2,train,
O=C(O)C1(=CC=[N+](C)C=C1),O=C(O)C1(=CC=[N+](C)C=C1),QITIEADGFBVLCV-UHFFFAOYSA-O,1.72,acidic,RES200_Opt1_acidic,26.0,spectrophotometric,train,
O(C1(=C(O)[NH+]=CN=C1))C,O(C1(=C(O)[NH+]=CN=C1))C,WOKGGVGWBXBJPK-UHFFFAOYSA-N,1.75,acidic,RES200_Opt1_acidic,20.0,potentiometric,train,
S1(=O)(=O)(NC(=O)C2(=C1C=CC=C2)),S1(=O)(=O)(NC(=O)C2(=C1C=CC=C2)),CVHZOJJKTDOEJC-UHFFFAOYSA-N,1.76,acidic,RES200_Opt1_acidic,18.0,mean from 3,train,
O=C(O)C2(=[NH+]C=1(C(=CC=CC=1)C=C2)),O=C(O)C2(=[NH+]C=1(C(=CC=CC=1)C=C2)),LOAUVZALPPNFOQ-UHFFFAOYSA-N,1.79,acidic,RES200_Opt1_acidic,19.0,mean from 2,train,
O=C(O)C#CC[NH+]1(CCOCC1),O=C(O)C#CC[NH+]1(CCOCC1),ZISHHSWJMOOXKT-UHFFFAOYSA-N,1.79,acidic,RES200_Opt1_acidic,20.0,potentiometric,train,
S(=O)(O)C1(=CC=C(C)C=C1),S(=O)(O)C1(=CC=C(C)C=C1),FXJVNINSOKCNJP-UHFFFAOYSA-N,1.82,acidic,RES200_Opt1_acidic,25.0,mean from 2,train,
O=C(O)C([NH3+])CC=1(N(C=[NH+]C=1)C),O=C(O)C([NH3+])CC=1(N(C=[NH+]C=1)C),HVLOOGGWSPSKQD-UHFFFAOYSA-N,1.84,acidic,RES200_Opt1_acidic,24.0,mean from 2,train,
OC1(=[NH+]C=NC2(=C1N=CN2C)),OC1(=[NH+]C=NC2(=C1N=CN2C)),PESGUQRDJASXOR-UHFFFAOYSA-N,1.86,acidic,RES200_Opt1_acidic,,potentiometric,train,
S(=O)(O)CC1(=CC=CC=C1),S(=O)(O)CC1(=CC=CC=C1),NVSONFIVLCXXDH-UHFFFAOYSA-N,1.86,acidic,RES200_Opt1_acidic,20.0,mean from 2,train,
O=C(O)C#C,O=C(O)C#C,UORVCLMRJXCDCP-UHFFFAOYSA-N,1.89,acidic,RES200_Opt1_acidic,25.0,mean from 2,train,
S(=O)(O)CCC1(=CC=CC=C1),S(=O)(O)CCC1(=CC=CC=C1),KITFTNNLESTGSF-UHFFFAOYSA-N,1.89,acidic,RES200_Opt1_acidic,20.0,potentiometric,train,
O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))C(O)C(C3CO)O),O3(C(N2(C1(=NC(=[NH+]C(=C1N=C2)O)N)))C(O)C(C3CO)O),NYHBQMYGNKIUIF-UHFFFAOYSA-N,1.9,acidic,RES200_Opt1_acidic,21.0,mean from 2,train,
O=C(O)C=2(C1(=[NH+]C=CC=C1C=CC=2)),O=C(O)C=2(C1(=[NH+]C=CC=C1C=CC=2)),QRDZFPUVLYEQTA-UHFFFAOYSA-N,1.9,acidic,RES200_Opt1_acidic,23.0,mean from 5,train,
[Br]C#CC(=O)O,[Br]C#CC(=O)O,ZSHNFLCNZCPFAB-UHFFFAOYSA-N,1.9,acidic,RES200_Opt1_acidic,25.0,conductometric,train,
OC(C#N)=C(C#N)C#N,OC(C#N)=C(C#N)C#N,PJLBWHZBXIBFIM-UHFFFAOYSA-N,1.9,acidic,RES200_Opt1_acidic,,potentiometric,train,
N#CC(C#N)=C(C#N)C(C#N)C#N,N#CC(C#N)=C(C#N)C(C#N)C#N,JHRFTUUPRRIVKE-UHFFFAOYSA-N,1.9,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C#CC#CCC,O=C(O)C#CC#CCC,JJRPKYYXFGMQGE-UHFFFAOYSA-N,1.91,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C1([NH2+]CC(C1)O),O=C(O)C1([NH2+]CC(C1)O),WJWKTZPSBZACNN-UHFFFAOYSA-N,1.92,acidic,RES200_Opt1_acidic,20.0,mean from 2,train,
N1(=NNC(=N1)C([NH3+])CC2(=CC=CC=C2)),N1(=NNC(=N1)C([NH3+])CC2(=CC=CC=C2)),NXQBRADSLPEODL-UHFFFAOYSA-N,1.93,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
S1(C(OC(C1C)=O)(C(=O)O)C),S1(C(OC(C1C)=O)(C(=O)O)C),JBHNKPDAXLYGKH-UHFFFAOYSA-N,1.94,acidic,RES200_Opt1_acidic,18.0,conductometric,train,
O=C(O)C1([NH2+]CC(C1CC(=O)OC)C(=C)C),O=C(O)C1([NH2+]CC(C1CC(=O)OC)C(=C)C),WGRRQLUYFIJJJA-UHFFFAOYSA-N,1.95,acidic,RES200_Opt1_acidic,,,train,
O=C(O)C(=O)C=CC1(=CC=C(C)C=C1),O=C(O)C(=O)C=CC1(=CC=C(C)C=C1),OPXZMUYXMAYBPG-UHFFFAOYSA-N,1.96,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C(=O)C=CC1(=CC=CC=C1),O=C(O)C(=O)C=CC1(=CC=CC=C1),YQOUMBVFEWZLME-UHFFFAOYSA-N,1.97,acidic,RES200_Opt1_acidic,25.0,potentiometric,train,
O=C(O)C[NH+](CC)CC,O=C(O)C[NH+](CC)CC,XQUVBRCEPRDUBR-UHFFFAOYSA-N,1.98,acidic,RES200_Opt1_acidic,24.0,mean from 2,train,
O=C([N+]1(=CC=C(C#N)C=C1))C,O=C([N+]1(=CC=C(C#N)C=C1))C,VLOGRUHUVSDAGT-UHFFFAOYSA-O,1.98,acidic,RES200_Opt1_acidic,25.0,,train,
O=C(O)C[NH+](C)C,O=C(O)C[NH+](C)C,SMQMESHEELJFRA-UHFFFAOYSA-N,1.99,acidic,RES200_Opt1_acidic,24.0,mean from 2,train,
O=C(O)C1([NH+]2(C(C(C)CC1)CCC(C2)C)),O=C(O)C1([NH+]2(C(C(C)CC1)CCC(C2)C)),CZDPAYWUBDBFSY-UHFFFAOYSA-N,2.0,acidic,RES200_Opt1_acidic,,,train,
S=C(S)NCC[NH3+],S=C(S)NCC[NH3+],NJGRNRAXMBFJJY-UHFFFAOYSA-N,2.0,acidic,RES200_Opt1_acidic,25.0,,train,
O=[N+]([O-])C1(=NNC(=N1)N2(N=CN=C2)),O=[N+]([O-])C1(=NNC(=N1)N2(N=CN=C2)),WNCPFOXYUZCJNT-UHFFFAOYSA-N,2.0,acidic,RES200_Opt1_acidic,20.0,spectrophotometric,train,
OC1(=[N+](C=NC2(=C1NC=N2))C),OC1(=[N+](C=NC2(=C1NC=N2))C),PGXGQSPWPVYNRZ-UHFFFAOYSA-O,2.0,acidic,RES200_Opt1_acidic,,spectrophotometric,train,
O=C(O)C1([NH2+]CC(C1CC(=O)N)C(=C)C),O=C(O)C1([NH2+]CC(C1CC(=O)N)C(=C)C),ISKJWPWBCHBQMO-UHFFFAOYSA-N,2.01,acidic,RES200_Opt1_acidic,,,train,
O=C1(C(O)=C1C2(=CC=CC=C2)),O=C1(C(O)=C1C2(=CC=CC=C2)),BKHVEEOKBDBVHE-UHFFFAOYSA-N,2.01,acidic,RES200_Opt1_acidic,25.0,spectrophotometric,train,
O=[N+]([O-])NC1(=NN=NN1CC),O=[N+]([O-])NC1(=NN=NN1CC),CFMHWMIDRAWWDT-UHFFFAOYSA-N,2.02,acidic,RES200_Opt1_acidic,25.0,mean from 2,train,
