"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"13946","OC1(=NC=CC=2(C1=CC=CC=2))","OC1=NC=CC2=CC=CC=C21","InChI=1S/C9H7NO/c11-9-8-4-2-1-3-7(8)5-6-10-9/h1-6H,(H,10,11)","VDBNYAPERZTOOF-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",-1.2
"12930","O=C(O)C1(=NC=CC=N1)","OC(=O)C1N=CC=CN=1","InChI=1S/C5H4N2O2/c8-5(9)4-6-2-1-3-7-4/h1-3H,(H,8,9)","ZFCHNZDUMIOWFV-UHFFFAOYSA-N","?",,"spectrophotometric","a1/apparent","?","basic",-1.13
"10278","O1(N=C(C)C(=C1C)C)","CC1C(C)=NOC=1C","InChI=1S/C6H9NO/c1-4-5(2)7-8-6(4)3/h1-3H3","MGHKWBQZEBMFOH-UHFFFAOYSA-N","?","25",,"b/apparent","?","basic",-1.0
"15832","P(=NC1(=CC=CC=C1))(C2(=CC=CC=C2))(C3(=CC=CC=C3))C4(=CC=CC=C4)","C1=CC=CC=C1N=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1","InChI=1S/C24H20NP/c1-5-13-21(14-6-1)25-26(22-15-7-2-8-16-22,23-17-9-3-10-18-23)24-19-11-4-12-20-24/h1-20H","PTLOPIHJOPWUNN-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","NH(1+)","basic",-0.92
"12117","N#CC(=NNC1(=C(C=CC=C1)C))C#N","CC1C=CC=CC=1N=NC(C#N)C#N","InChI=1S/C10H8N4/c1-8-4-2-3-5-10(8)14-13-9(6-11)7-12/h2-5,9H,1H3","PGANELMIKKGCBI-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.84
"14629","N#CC(=NNC1(=C(C=CC=C1C)C))C#N","CC1C=CC=C(C)C=1N=NC(C#N)C#N","InChI=1S/C11H10N4/c1-8-4-3-5-9(2)11(8)15-14-10(6-12)7-13/h3-5,10H,1-2H3","SQEUWWVFNYITIZ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.82
"12122","[Br]C1(=C(NN=C(C#N)C#N)C=CC=C1)","N#CC(C#N)N=NC1C=CC=CC=1Br","InChI=1S/C9H5BrN4/c10-8-3-1-2-4-9(8)14-13-7(5-11)6-12/h1-4,7H","ROODCEVUWMLMSL-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.8
"12124","ClC1(=CC(NN=C(C#N)C#N)=CC=C1)","N#CC(C#N)N=NC1C=C(Cl)C=CC=1","InChI=1S/C9H5ClN4/c10-7-2-1-3-8(4-7)13-14-9(5-11)6-12/h1-4,9H","ATTCVKKCGVZURR-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.78
"14927","O=[N+]([O-])C1(=C(NN=C(C#N)C#N)C=CC=C1)","N#CC(C#N)N=NC1C=CC=CC=1[N+]([O-])=O","InChI=1S/C9H5N5O2/c10-5-7(6-11)12-13-8-3-1-2-4-9(8)14(15)16/h1-4,7H","NBRXHBWLQYESNG-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.76
"16226","FC(F)(F)C1(=C(NN=C(C#N)C#N)C=CC=C1)","N#CC(C#N)N=NC1C=CC=CC=1C(F)(F)F","InChI=1S/C10H5F3N4/c11-10(12,13)8-3-1-2-4-9(8)17-16-7(5-14)6-15/h1-4,7H","OTYRRSPJNJWAAC-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.7
"10236","O=C(O)C=1(NC=CC=1)","OC(=O)C1=CC=CN1","InChI=1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3,6H,(H,7,8)","WRHZVMBBRYBTKZ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","COOH","basic",-0.65
"10051","O=C(O)C1(=COC=C1)","OC(=O)C1C=COC=1","InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)","IHCCAYCGZOLTEU-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","COOH","basic",-0.59
"11160","O=C(O)C=1(NC=2(C=CC=CC=2(C=1)))","OC(=O)C1=CC2C=CC=CC=2N1","InChI=1S/C9H7NO2/c11-9(12)8-5-6-3-1-2-4-7(6)10-8/h1-5,10H,(H,11,12)","HCUARRIEZVDMPT-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","COOH","basic",-0.57
"11534","FC(F)(F)C1(=NNC(=C1)C)","CC1=CC(=NN1)C(F)(F)F","InChI=1S/C5H5F3N2/c1-3-2-4(10-9-3)5(6,7)8/h2H,1H3,(H,9,10)","DLCHCAYDSKIFIN-UHFFFAOYSA-N","?","25",,"a1/apparent","N%+&-H","basic",-0.5
"13913","[Br]C=1(C=NC2(=CC=CC=C2(C=1)))","BrC1=CC2=CC=CC=C2N=C1","InChI=1S/C9H6BrN/c10-8-5-7-3-1-2-4-9(7)11-6-8/h1-6H","ZGIKWINFUGEQEO-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",-0.44
"14347","FC1(=C([N+](=O)[O-])C=CC(=C1)N)","NC1C=CC(=C(F)C=1)[N+]([O-])=O","InChI=1S/C6H5FN2O2/c7-5-3-4(8)1-2-6(5)9(10)11/h1-3H,8H2","KKQPNAPYVIIXFB-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","?","basic",-0.3
"16997","O=C1(N(N(C)C(=C1O)C)C2(=CC=CC=C2))","CN1C(C)=C(O)C(=O)N1C1C=CC=CC=1","InChI=1S/C11H12N2O2/c1-8-10(14)11(15)13(12(8)2)9-6-4-3-5-7-9/h3-7,14H,1-2H3","SKVPTPMWXJSBTF-UHFFFAOYSA-N","?","24.9","potentiometric","a1/apparent","-N(1+)-H","basic",-0.22
"16728","O=CC3(=CC=C(C=2(OC(C1(=CC=CC=C1))=CN=2))C=C3)","O=CC1C=CC(=CC=1)C1=NC=C(O1)C1C=CC=CC=1","InChI=1S/C16H11NO2/c18-11-12-6-8-14(9-7-12)16-17-10-15(19-16)13-4-2-1-3-5-13/h1-11H","ZCYOEDMCZSATFX-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",0.02
"15780","O=C1(N(N(C)C(=C1NC(=O)C)C)C2(=CC=CC=C2))","CN1C(C)=C(/N=C(\C)/O)C(=O)N1C1C=CC=CC=1","InChI=1S/C13H15N3O2/c1-9-12(14-10(2)17)13(18)16(15(9)3)11-7-5-4-6-8-11/h4-8H,1-3H3,(H,14,17)","OIAGWXKSCXPNNZ-UHFFFAOYSA-N","?","24.9","potentiometric","a1/apparent","-N(1+)-H","basic",0.18
"11075","S(C2(=NC=1(C(=CC=CC=1)N=C2)))C","CSC1C=NC2=CC=CC=C2N=1","InChI=1S/C9H8N2S/c1-12-9-6-10-7-4-2-3-5-8(7)11-9/h2-6H,1H3","FOQUKZGBNFIUMZ-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",0.26
"12433","ClC2(=CC=1(N=C(C(=O)OC)NC=1C=C2))","COC(=O)C1NC2C=CC(Cl)=CC=2N=1","InChI=1S/C9H7ClN2O2/c1-14-9(13)8-11-6-3-2-5(10)4-7(6)12-8/h2-4H,1H3,(H,11,12)","ZABAOZMNFJQFJC-UHFFFAOYSA-N","?","24.9","spectrophotometric","a1/apparent","?","basic",0.3
"15320","O=[N+]([O-])C3(=CC=C(C=2(OC(C1(=CC=CC=C1))=NC=2))C=C3)","[O-][N+](=O)C1C=CC(=CC=1)C1=CN=C(O1)C1C=CC=CC=1","InChI=1S/C15H10N2O3/c18-17(19)13-8-6-11(7-9-13)14-10-16-15(20-14)12-4-2-1-3-5-12/h1-10H","OQTXWGNCTMBXMS-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",0.35
"15559","[Br]C3(=CC=C(C=2(OC(C1(=CC=CC=C1))=CN=2))C=C3)","BrC1C=CC(=CC=1)C1=NC=C(O1)C1C=CC=CC=1","InChI=1S/C15H10BrNO/c16-13-8-6-12(7-9-13)15-17-10-14(18-15)11-4-2-1-3-5-11/h1-10H","KQKZBILGPDPYLZ-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",0.4
"11796","O=C(O)C1(=C[N+]([O-])=CC=C1)","[O-][N+]1C=C(C=CC=1)C(O)=O","InChI=1S/C6H5NO3/c8-6(9)5-2-1-3-7(10)4-5/h1-4H,(H,8,9)","FJCFFCXMEXZEIM-UHFFFAOYSA-N","?","24","mean from 2","a1/thermodynamic","?","basic",0.41
"11134","N2(C1(=C(C=C(C)C=C1)C=C2C))(C)","CC1=CC2C=C(C)N(C)C=2C=C1","InChI=1S/C11H13N/c1-8-4-5-11-10(6-8)7-9(2)12(11)3/h4-7H,1-3H3","QEOSOLXDPRSDKG-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",0.5
"12415","O=[N+]([O-])C=1(C=2(C(C(N)=CC=1)=CC=CC=2))","NC1=CC=C(C2=CC=CC=C21)[N+]([O-])=O","InChI=1S/C10H8N2O2/c11-9-5-6-10(12(13)14)8-4-2-1-3-7(8)9/h1-6H,11H2","BVPJPRYNQHAOPQ-UHFFFAOYSA-N","?","23","mean from 3","a1/apparent","RNH3(+)","basic",0.53
"16727","O=CC3(=CC=C(C=2(OC(C1(=CC=CC=C1))=NC=2))C=C3)","O=CC1C=CC(=CC=1)C1=CN=C(O1)C1C=CC=CC=1","InChI=1S/C16H11NO2/c18-11-12-6-8-13(9-7-12)15-10-17-16(19-15)14-4-2-1-3-5-14/h1-11H","XAYCODVALUAMFG-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",0.57
"11984","N=1(C=2(C(N=CC=1)=CC=CC=2))","C1C=NC2=CC=CC=C2N=1","InChI=1S/C8H6N2/c1-2-4-8-7(3-1)9-5-6-10-8/h1-6H","XSCHRSMBECNVNS-UHFFFAOYSA-N","?","20","mean from 2","a/thermodynamic","?","basic",0.64
"11651","[Br]C1(=C(N)C([Br])=CC(=C1)C)","CC1=CC(Br)=C(N)C(Br)=C1","InChI=1S/C7H7Br2N/c1-4-2-5(8)7(10)6(9)3-4/h2-3H,10H2,1H3","ATDIROHVRVQMRO-UHFFFAOYSA-N","?","21","spectrophotometric","a/apparent","?","basic",0.69
"13441","ClC2(=CC(N1(N=NN=C1N))=CC=C2)","NC1=NN=NN1C1C=C(Cl)C=CC=1","InChI=1S/C7H6ClN5/c8-5-2-1-3-6(4-5)13-7(9)10-11-12-13/h1-4H,(H2,9,10,12)","FKGBDTAREVJBGX-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","H+","basic",0.7
"13364","N(C1(=CC=CC=C1))C2(=CC=CC=C2)","C1=CC=CC=C1NC1C=CC=CC=1","InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H","DMBHHRLKUKUOEG-UHFFFAOYSA-N","?","22","mean from 5","b1/apparent","NH","basic",0.76
"13445","ClC2(=CC=C(N1(N=NN=C1N))C=C2)","NC1=NN=NN1C1C=CC(Cl)=CC=1","InChI=1S/C7H6ClN5/c8-5-1-3-6(4-2-5)13-7(9)10-11-12-13/h1-4H,(H2,9,10,12)","ODJAMMJWPPTQSR-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","H+","basic",0.78
"13848","OC=2(C1(=NC=CN=C1C=CC=2))","OC1=CC=CC2=NC=CN=C21","InChI=1S/C8H6N2O/c11-7-3-1-2-6-8(7)10-5-4-9-6/h1-5,11H","ZUQDDQFXSNXEOD-UHFFFAOYSA-N","?","19","mean from 2","a1/thermodynamic","?","basic",0.85
"16736","ClC3(=CC=C(C=2(OC(C1(=CC=C(C)C=C1))=NC=2))C=C3)","CC1C=CC(=CC=1)C1=NC=C(O1)C1C=CC(Cl)=CC=1","InChI=1S/C16H12ClNO/c1-11-2-4-13(5-3-11)16-18-10-15(19-16)12-6-8-14(17)9-7-12/h2-10H,1H3","PUZZFKQKQKFWQF-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",0.88
"14376","S(C1(=NC(=CC(N1C)=O)C))C","CC1=CC(=O)N(C)C(=N1)SC","InChI=1S/C7H10N2OS/c1-5-4-6(10)9(2)7(8-5)11-3/h4H,1-3H3","QYXORJXXZRQXTL-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",0.9
"12891","N#CC1(=C(N)C=CC=C1)","NC1C=CC=CC=1C#N","InChI=1S/C7H6N2/c8-5-6-3-1-2-4-7(6)9/h1-4H,9H2","HLCPWBZNUKCSBN-UHFFFAOYSA-N","?","25","spectrophotometric","a/apparent","?","basic",0.95
"14983","OC3(=CC=2(N(C1(=C(C=CC=C1)NC=2C=C3))C))","CN1C2C=CC=CC=2NC2C=CC(O)=CC1=2","InChI=1S/C13H12N2O/c1-15-12-5-3-2-4-10(12)14-11-7-6-9(16)8-13(11)15/h2-8,14,16H,1H3","LGBGAPQGKWRWJD-UHFFFAOYSA-N","?","30","potentiometric","a1/apparent","?","basic",1.0
"13971","[O-][N+]2(=CC=1(C(=CC=CC=1)C=C2))","[O-][N+]1=CC2=CC=CC=C2C=C1","InChI=1S/C9H7NO/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H","RZIAABRFQASVSW-UHFFFAOYSA-N","?","25","spectrophotometric","a/apparent","?","basic",1.01
"15555","O1(C(=NC=C1C2(=CC=CC=C2))C3(=CC=C(C)C=C3))","CC1C=CC(=CC=1)C1=NC=C(O1)C1C=CC=CC=1","InChI=1S/C16H13NO/c1-12-7-9-14(10-8-12)16-17-11-15(18-16)13-5-3-2-4-6-13/h2-11H,1H3","LTGNYHGEFNFIBD-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",1.04
"14869","O=[N+]([O-])C1(=CC=C(N(CCC)CCC)C=C1)","CCCN(CCC)C1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C12H18N2O2/c1-3-9-13(10-4-2)11-5-7-12(8-6-11)14(15)16/h5-8H,3-4,9-10H2,1-2H3","GZCIRDMRXVOXPH-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","amine","basic",1.06
"14739","N#CN","NC#N","InChI=1S/CH2N2/c2-1-3/h2H2","XZMCDFZZKTWFGF-UHFFFAOYSA-N","?","29","potentiometric","a/apparent","?","basic",1.1
"12470","N(C1(=CC=C(C)C=C1))C2(=CC=CC=C2)","CC1C=CC(=CC=1)NC1C=CC=CC=1","InChI=1S/C13H13N/c1-11-7-9-13(10-8-11)14-12-5-3-2-4-6-12/h2-10,14H,1H3","AGHYMXKKEXDUTA-UHFFFAOYSA-N","?","25","mean from 2","b1/apparent","NH","basic",1.16
"17482","S=C(N([NH3+])C)N","CN(N)C(N)=S","InChI=1S/C2H7N3S/c1-5(4)2(3)6/h4H2,1H3,(H2,3,6)","IIGQLQZSWDUOBI-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",1.2
"16729","O1(C(=NC=C1C2(=CC=CC=C2))C3(=CC=C(OC)C=C3))","COC1C=CC(=CC=1)C1=NC=C(O1)C1C=CC=CC=1","InChI=1S/C16H13NO2/c1-18-14-9-7-13(8-10-14)16-17-11-15(19-16)12-5-3-2-4-6-12/h2-11H,1H3","ZAQGDEAUNXUCQP-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",1.25
"16087","S(=O)(=O)(NC1(=NN=CC=C1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1C=CC=NN=1","InChI=1S/C10H10N4O2S/c11-8-3-5-9(6-4-8)17(15,16)14-10-2-1-7-12-13-10/h1-7H,11H2,(H,13,14)","KLXBSPXXUGSWGB-UHFFFAOYSA-N","?",,"potentiometric","b2/apparent","?","basic",1.3
"12720","N=1(NC=2(C=CC=CC=2(C=1)))","C1=NNC2C=CC=CC=21","InChI=1S/C7H6N2/c1-2-4-7-6(3-1)5-8-9-7/h1-5H,(H,8,9)","BAXOFTOLAUCFNW-UHFFFAOYSA-N","?","20","mean from 3","a1/thermodynamic","?","basic",1.31
"10222","S=C1(C=CN(C)C=C1)","CN1C=CC(=S)C=C1","InChI=1S/C6H7NS/c1-7-4-2-6(8)3-5-7/h2-5H,1H3","AXSKLZVLVONUIC-UHFFFAOYSA-N","?","20","mean from 2","a/apparent","?","basic",1.36
"12741","S2(C1(=C(C=CC=C1)N=C2))","C1=NC2C=CC=CC=2S1","InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H","IOJUPLGTWVMSFF-UHFFFAOYSA-N","?","85",,"a1/apparent","?","basic",1.38
"15140","O(C2(=CC=C(NC1(=CC=CC=C1))C=C2))CC","CCOC1C=CC(=CC=1)NC1C=CC=CC=1","InChI=1S/C14H15NO/c1-2-16-14-10-8-13(9-11-14)15-12-6-4-3-5-7-12/h3-11,15H,2H2,1H3","SEKMXHXGKOKENQ-UHFFFAOYSA-N","?","25","mean from 2","b1/apparent","NH","basic",1.41
"12444","O=C1(N(N(C)C(=C1)C)C2(=CC=CC=C2))","CN1C(C)=CC(=O)N1C1C=CC=CC=1","InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3","VEQOALNAAJBPNY-UHFFFAOYSA-N","?","23","mean from 9","a1/apparent","?","basic",1.45
"12442","O=C1(N(C=NC=C1C2(=CC=CC=C2))C)","CN1C=NC=C(C1=O)C1C=CC=CC=1","InChI=1S/C11H10N2O/c1-13-8-12-7-10(11(13)14)9-5-3-2-4-6-9/h2-8H,1H3","WRZBAWXKHUZCOW-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",1.5
"12162","S(=O)(=O)(NC(=O)C)C1(=CC=C(N)C=C1)","C/C(/O)=N\S(=O)(=O)C1C=CC(N)=CC=1","InChI=1S/C8H10N2O3S/c1-6(11)10-14(12,13)8-4-2-7(9)3-5-8/h2-5H,9H2,1H3,(H,10,11)","SKIVFJLNDNKQPD-UHFFFAOYSA-N","?",,"mean from 2","b/apparent","NH2","basic",1.58
"11542","O(C1(=NN=C(OC)C=C1))C","COC1C=CC(=NN=1)OC","InChI=1S/C6H8N2O2/c1-9-5-3-4-6(10-2)8-7-5/h3-4H,1-2H3","HKQOBAGKDBSVEQ-UHFFFAOYSA-N","?","20","potentiometric","a/thermodynamic","?","basic",1.61
"12144","O=[N+]([O-])C1(=CC=C(N(CC)CC)C=C1)","CCN(CC)C1C=CC(=CC=1)[N+]([O-])=O","InChI=1S/C10H14N2O2/c1-3-11(4-2)9-5-7-10(8-6-9)12(13)14/h5-8H,3-4H2,1-2H3","CFPIZMWTMRWZRO-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","amine","basic",1.7
"16966","O=[N+]([O-])C1(=C([N+](=O)[O-])C=C2(NC=NC2(=C1)))","[O-][N+](=O)C1C=C2NC=NC2=CC=1[N+]([O-])=O","InChI=1S/C7H4N4O4/c12-10(13)6-1-4-5(9-3-8-4)2-7(6)11(14)15/h1-3H,(H,8,9)","GJKUZDYIYKJZOB-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","N(+)-H","basic",1.73
"14647","S(=O)(=O)(N(CC)CC)C1(=CC=C(N)C=C1)","CCN(CC)S(=O)(=O)C1C=CC(N)=CC=1","InChI=1S/C10H16N2O2S/c1-3-12(4-2)15(13,14)10-7-5-9(11)6-8-10/h5-8H,3-4,11H2,1-2H3","LTFVELCIFWEGGA-UHFFFAOYSA-N","?","25",,"a/apparent","NH3%+&","basic",1.75
"17013","S(=O)(=O)(C1(=CC=CC=C1))C=2(SC(N)=NC=2)","NC1=NC=C(S1)S(=O)(=O)C1C=CC=CC=1","InChI=1S/C9H8N2O2S2/c10-9-11-6-8(14-9)15(12,13)7-4-2-1-3-5-7/h1-6H,(H2,10,11)","ZAORQWZONVPKAF-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","?","basic",1.79
"16311","O=C(N2(C1(=C(C=CC=C1)N=C2)))C3(=CC=CC=C3)","O=C(C1C=CC=CC=1)N1C=NC2C=CC=CC1=2","InChI=1S/C14H10N2O/c17-14(11-6-2-1-3-7-11)16-10-15-12-8-4-5-9-13(12)16/h1-10H","IYVBKVVOHXVKRD-UHFFFAOYSA-N","?","30",,"a1/apparent","?","basic",1.8
"17320","N1(=NNC(=N1)N)","NC1NN=NN=1","InChI=1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)","ULRPISSMEBPJLN-UHFFFAOYSA-N","?","24","mean from 2","a1/apparent","H+","basic",1.81
"10169","[O-]C1(=[N+](C=NC=C1)C)","C[N+]1=CN=CC=C1O","InChI=1S/C5H6N2O/c1-7-4-6-3-2-5(7)8/h2-4H,1H3/p+1","PSXLJUKMMIHADB-UHFFFAOYSA-O","?","20","potentiometric","a/apparent","?","basic",1.84
"17831","OC1(=CN=CN=C1)","OC1C=NC=NC=1","InChI=1S/C4H4N2O/c7-4-1-5-3-6-2-4/h1-3,7H","LTXJLQINBYSQFU-UHFFFAOYSA-N","?","20","potentiometric","a1/apparent","?","basic",1.87
"10103","N#CC1(=CC=NC=C1)","N#CC1C=CN=CC=1","InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H","GPHQHTOMRSGBNZ-UHFFFAOYSA-N","?","24","mean from 5","b1/apparent","H","basic",1.91
"12463","O=[N+]([O-])C2(=C(O)C1(=NC=CC=C1C=C2))","[O-][N+](=O)C1C=CC2=CC=CN=C2C=1O","InChI=1S/C9H6N2O3/c12-9-7(11(13)14)4-3-6-2-1-5-10-8(6)9/h1-5,12H","RPJWQGVDVSVGPQ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","H+ of NH+","basic",1.94
"16157","O=C(O)C2(=CC=C(N=CC1(=CC=CC=C1))C=C2)","OC(=O)C1C=CC(=CC=1)N=CC1C=CC=CC=1","InChI=1S/C14H11NO2/c16-14(17)12-6-8-13(9-7-12)15-10-11-4-2-1-3-5-11/h1-10H,(H,16,17)","MREPJQZHXSDMKL-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","COOH","basic",1.97
"16089","S(=O)(=O)(NC1(=NC=CC=N1))C2(=CC=C(N)C=C2)","NC1C=CC(=CC=1)S(=O)(=O)NC1N=CC=CN=1","InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)","SEEPANYCNGTZFQ-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",2.0
"15452","S(=O)(=O)(NC1(=NC=CC=C1))C2(=CC=C(NC(=O)C)C=C2)","C/C(/O)=N\C1C=CC(=CC=1)S(=O)(=O)NC1=CC=CC=N1","InChI=1S/C13H13N3O3S/c1-10(17)15-11-5-7-12(8-6-11)20(18,19)16-13-4-2-3-9-14-13/h2-9H,1H3,(H,14,16)(H,15,17)","CYLYVXPHAQLXFG-UHFFFAOYSA-N","?",,"potentiometric","b/apparent","?","basic",2.03
"13031","ClC1(=C(N)C=CC(=C1)Cl)","NC1C=CC(Cl)=CC=1Cl","InChI=1S/C6H5Cl2N/c7-4-1-2-6(9)5(8)3-4/h1-3H,9H2","KQCMTOWTPBNWDB-UHFFFAOYSA-N","?","24","mean from 2","a/thermodynamic","H+","basic",2.07
"17139","O=C(NN=CC1(=NC=NC2(=C1NC=N2)))N","NC(=O)N=NCC1=NC=NC2N=CNC=21","InChI=1S/C7H7N7O/c8-7(15)14-13-1-4-5-6(11-2-9-4)12-3-10-5/h2-3H,1H2,(H2,8,15)(H,9,10,11,12)","FMRAFOIJJSXXBF-UHFFFAOYSA-N","?",,"spectrophotometric","a1/apparent","?","basic",2.1
"12494","O(C2(=CC1(=C(C=CN(C1O)C)C=C2)))C","CN1C=CC2C=CC(=CC=2C1O)OC","InChI=1S/C11H13NO2/c1-12-6-5-8-3-4-9(14-2)7-10(8)11(12)13/h3-7,11,13H,1-2H3","SXFUOPZOEZXSJY-UHFFFAOYSA-N","?","21","potentiometric","b/apparent","?","basic",2.15
