"Molecule name","OriginalSmiles","Canonical_QSARr","InChI_Code_QSARr","InChI Key_QSARr","Salt_Solvent (Concatenate)","temp","method","type","group","basicOrAcidic","pKa"
"12980","O[N+]1(=CC(NC)=CC=C1)","CNC1C=[N+](O)C=CC=1","InChI=1S/C6H9N2O/c1-7-6-3-2-4-8(9)5-6/h2-5,7,9H,1H3/q+1","OTVNBPXAUANWOA-UHFFFAOYSA-N","?","25","spectrophotometric","a2/apparent","?","basic",-2.42
"13504","S(=O)(C1(=CC=C(C)C=C1))C(C)(C)C","CC1C=CC(=CC=1)S(=O)C(C)(C)C","InChI=1S/C11H16OS/c1-9-5-7-10(8-6-9)13(12)11(2,3)4/h5-8H,1-4H3","CUHLCVDOSQPTSU-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-2.2
"13898","N2(C1(=C(C=C(C)C=C1)C=C2))(C)","CC1C=CC2=C(C=1)C=CN2C","InChI=1S/C10H11N/c1-8-3-4-10-9(7-8)5-6-11(10)2/h3-7H,1-2H3","PZNYKBLADPHGMI-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-2.15
"15131","O=C(N(O)C1(=CC=CC=C1))C2(=CC=CC=C2)","ON(C(=O)C1C=CC=CC=1)C1C=CC=CC=1","InChI=1S/C13H11NO2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,16H","YLYIXDZITBMCIW-UHFFFAOYSA-N","?","25","mean from 3","a1/apparent","COH%+&","basic",-2.08
"17553","S=C(NC)C","CNC(C)=S","InChI=1S/C3H7NS/c1-3(5)4-2/h1-2H3,(H,4,5)","BNLLHLUAOXAUNQ-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",-1.9
"15047","P(=O)(C1(=CC=CC=C1))(CC2(=CC=CC=C2))C","CP(=O)(CC1C=CC=CC=1)C1C=CC=CC=1","InChI=1S/C14H15OP/c1-16(15,14-10-6-3-7-11-14)12-13-8-4-2-5-9-13/h2-11H,12H2,1H3","SOJGLPAFJIPVLI-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-1.82
"11189","O=C1(N(C=CC2(=C1C=CC=C2))C)","CN1C=CC2C=CC=CC=2C1=O","InChI=1S/C10H9NO/c1-11-7-6-8-4-2-3-5-9(8)10(11)12/h2-7H,1H3","YJRMHIKEMDTYDR-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",-1.8
"12420","O=[N+]([O-])C2(=C(N)C=1(C(=CC=CC=1)C=C2))","NC1C2=CC=CC=C2C=CC=1[N+]([O-])=O","InChI=1S/C10H8N2O2/c11-10-8-4-2-1-3-7(8)5-6-9(10)12(13)14/h1-6H,11H2","SMAJHKXZBICXLS-UHFFFAOYSA-N","?","20",,"a/thermodynamic","?","basic",-1.6
"11143","S=C2(N(C1(=C(C=CC=C1)C=C2))C)","CN1C(=S)C=CC2C=CC=CC1=2","InChI=1S/C10H9NS/c1-11-9-5-3-2-4-8(9)6-7-10(11)12/h2-7H,1H3","PBRBGUUOYSTUHP-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",-1.6
"14450","O=C(N)C1(=CC=C(OC)C=C1)","COC1C=CC(=CC=1)C(N)=O","InChI=1S/C8H9NO2/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H2,9,10)","GUCPYIYFQVTFSI-UHFFFAOYSA-N","?","18","spectrophotometric","a/apparent","?","basic",-1.6
"13320","ClC2(=NC=C(C1([NH+](CCC1)C))C=C2)","CN1CCCC1C1C=NC(Cl)=CC=1","InChI=1S/C10H13ClN2/c1-13-6-2-3-9(13)8-4-5-10(11)12-7-8/h4-5,7,9H,2-3,6H2,1H3","SVVOLGNZRGLPIU-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-1.3
"13173","ClC=1(N=CNC=1[N+](=O)[O-])","[O-][N+](=O)C1NC=NC=1Cl","InChI=1S/C3H2ClN3O2/c4-2-3(7(8)9)6-1-5-2/h1H,(H,5,6)","ZJYZSKPVPVBBFB-UHFFFAOYSA-N","?","25","potentiometric","b1/apparent","?","basic",-1.3
"15083","O=[N+]([O-])C2(=CC(NC1(=CC=CC=C1))=CC=C2)","[O-][N+](=O)C1=CC(=CC=C1)NC1C=CC=CC=1","InChI=1S/C12H10N2O2/c15-14(16)12-8-4-7-11(9-12)13-10-5-2-1-3-6-10/h1-9,13H","VNRHTFXMONFRSL-UHFFFAOYSA-N","?","25","mean from 2","b1/apparent","NH","basic",-1.27
"12411","O(C2(=NC=1(C(=CC=CC=1)N=C2OC)))C","COC1=NC2=CC=CC=C2N=C1OC","InChI=1S/C10H10N2O2/c1-13-9-10(14-2)12-8-6-4-3-5-7(8)11-9/h3-6H,1-2H3","CRAYFGFTLBTRRS-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",-1.15
"11089","O=C2(N(C1(=C(C=CC=C1)N=C2))C)","CN1C(=O)C=NC2C=CC=CC1=2","InChI=1S/C9H8N2O/c1-11-8-5-3-2-4-7(8)10-6-9(11)12/h2-6H,1H3","CHPVQLYVDDOWNT-UHFFFAOYSA-N","?","20","spectrophotometric","a/apparent","?","basic",-1.15
"17773","O=C1(C=CCC=C1)","O=C1C=CCC=C1","InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h2-5H,1H2","WGHKKEJHRMUKDK-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","C-H","basic",-1.14
"12214","O=C(C1(=CC=CC=C1))C=C(N)CCC","CCCC(=N)CC(=O)C1C=CC=CC=1","InChI=1S/C12H15NO/c1-2-6-11(13)9-12(14)10-7-4-3-5-8-10/h3-5,7-8,13H,2,6,9H2,1H3","REJJUVWPMQGSNG-UHFFFAOYSA-N","?","20","spectrophotometric","b1/apparent","OH","basic",-1.12
"13840","[S-]C2(=[NH+]C=1(C(=CC=CC=1)N=C2))","SC1C=NC2=CC=CC=C2N=1","InChI=1S/C8H6N2S/c11-8-5-9-6-3-1-2-4-7(6)10-8/h1-5H,(H,10,11)","INQXGZFDGDSRIF-UHFFFAOYSA-N","?","20","spectrophotometric","a1/apparent","?","basic",-1.11
"11461","O=C(O)C1(=CC(O)=CC=C1)","OC1C=C(C=CC=1)C(O)=O","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)","IJFXRHURBJZNAO-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","OH","basic",-1.01
"14850","O=C(O)C1(=C(NN=C(C#N)C#N)C=CC=C1)","N#CC(C#N)N=NC1C=CC=CC=1C(O)=O","InChI=1S/C10H6N4O2/c11-5-7(6-12)13-14-9-4-2-1-3-8(9)10(15)16/h1-4,7H,(H,15,16)","FDCSZMOHOIBWGW-UHFFFAOYSA-N","?","20","spectrophotometric","b1/apparent","-NH2-","basic",-0.96
"17247","S=C(N)N","NC(N)=S","InChI=1S/CH4N2S/c2-1(3)4/h(H4,2,3,4)","UMGDCJDMYOKAJW-UHFFFAOYSA-N","?","24.9",,"b1/apparent","NH(1+)","basic",-0.96
"12418","O=[N+]([O-])C1(=C(N)C=CC=2(C1=CC=CC=2))","NC1C=CC2=CC=CC=C2C=1[N+]([O-])=O","InChI=1S/C10H8N2O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12(13)14/h1-6H,11H2","JNWGFQCTJCIODS-UHFFFAOYSA-N","?","22","mean from 2","a/thermodynamic","?","basic",-0.92
"12793","[Se](=O)(O)C1(=CC=CC=C1)","O[Se](=O)C1C=CC=CC=1","InChI=1S/C6H6O2Se/c7-9(8)6-4-2-1-3-5-6/h1-5H,(H,7,8)","WIHKGDVGLJJAMC-UHFFFAOYSA-N","?",,"NMR","a1/apparent","O-H","basic",-0.9
"14348","ClC1(=CC([N+](=O)[O-])=C(N)C=C1)","NC1C=CC(Cl)=CC=1[N+]([O-])=O","InChI=1S/C6H5ClN2O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,8H2","PBGKNXWGYQPUJK-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","NH2","basic",-0.88
"16484","N#CC(=NNC2(=CC=C(N=NC1(=CC=CC=C1))C=C2))C#N","N#CC(C#N)N=NC1C=CC(=CC=1)N=NC1C=CC=CC=1","InChI=1S/C15H10N6/c16-10-15(11-17)21-20-14-8-6-13(7-9-14)19-18-12-4-2-1-3-5-12/h1-9,15H","NCDCTVOPSIPZCZ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.87
"14627","N#CC(=NNC1(=C(C=CC(=C1)C)C))C#N","CC1=CC(N=NC(C#N)C#N)=C(C)C=C1","InChI=1S/C11H10N4/c1-8-3-4-9(2)11(5-8)15-14-10(6-12)7-13/h3-5,10H,1-2H3","KUVLTQSSNHTLGP-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.84
"12115","N#CC(=NNC1(=CC=C(C)C=C1))C#N","CC1=CC=C(C=C1)N=NC(C#N)C#N","InChI=1S/C10H8N4/c1-8-2-4-9(5-3-8)13-14-10(6-11)7-12/h2-5,10H,1H3","PVMNLJXFLNGWDN-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.83
"11281","O=[N+]([O-])C2(=C1(NN=CC1=CC=C2))","[O-][N+](=O)C1C=CC=C2C=NNC2=1","InChI=1S/C7H5N3O2/c11-10(12)6-3-1-2-5-4-8-9-7(5)6/h1-4H,(H,8,9)","PQCAUHUKTBHUSA-UHFFFAOYSA-N","?","20","potentiometric","a1/thermodynamic","NH2+","basic",-0.83
"10028","O=C1(C=CC=CC=C1)","O=C1C=CC=CC=C1","InChI=1S/C7H6O/c8-7-5-3-1-2-4-6-7/h1-6H","QVWDCTQRORVHHT-UHFFFAOYSA-N","?","25",,"a1/apparent","?","basic",-0.82
"13535","N#CC(=NNC1(=CC=CC=C1))C#N","N#CC(C#N)N=NC1C=CC=CC=1","InChI=1S/C9H6N4/c10-6-9(7-11)13-12-8-4-2-1-3-5-8/h1-5,9H","KLMBASWITNCMTF-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.82
"14847","ClCCC1(=CC=C(NN=C(C#N)C#N)C=C1)","N#CC(C#N)N=NC1C=CC(CCCl)=CC=1","InChI=1S/C11H9ClN4/c12-6-5-9-1-3-10(4-2-9)15-16-11(7-13)8-14/h1-4,11H,5-6H2","VBRDQJNXPOGDAB-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.81
"12126","ClC1(=CC=C(NN=C(C#N)C#N)C=C1)","N#CC(C#N)N=NC1C=CC(Cl)=CC=1","InChI=1S/C9H5ClN4/c10-7-1-3-8(4-2-7)13-14-9(5-11)6-12/h1-4,9H","VSRWRLJPOOTNFT-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.79
"15592","FC(F)(F)OC1(=CC=C(NN=C(C#N)C#N)C=C1)","N#CC(C#N)N=NC1C=CC(=CC=1)OC(F)(F)F","InChI=1S/C10H5F3N4O/c11-10(12,13)18-9-3-1-7(2-4-9)16-17-8(5-14)6-15/h1-4,8H","WCAZOGMPEZCHPN-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.78
"16277","O=[N+]([O-])C1(=C(NN=C(C#N)C#N)C=CC(=C1)C)","CC1=CC(=C(C=C1)N=NC(C#N)C#N)[N+]([O-])=O","InChI=1S/C10H7N5O2/c1-7-2-3-9(10(4-7)15(16)17)14-13-8(5-11)6-12/h2-4,8H,1H3","JHYHIEBZIXAERA-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.78
"14852","O=C(C1(=CC=C(NN=C(C#N)C#N)C=C1))C","C=C(O)C1C=CC(=CC=1)N=NC(C#N)C#N","InChI=1S/C11H8N4O/c1-8(16)9-2-4-10(5-3-9)14-15-11(6-12)7-13/h2-5,11,16H,1H2","XIPYNEMDGAGPOC-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.77
"12120","ClC1(=C(NN=C(C#N)C#N)C=CC=C1)","N#CC(C#N)N=NC1C=CC=CC=1Cl","InChI=1S/C9H5ClN4/c10-8-3-1-2-4-9(8)14-13-7(5-11)6-12/h1-4,7H","ZRNJZQRMCMICTL-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.77
"16228","ClCC(=O)C1(=CC=C(NN=C(C#N)C#N)C=C1)","N#CC(C#N)N=NC1C=CC(=CC=1)C(O)=CCl","InChI=1S/C11H7ClN4O/c12-5-11(17)8-1-3-9(4-2-8)15-16-10(6-13)7-14/h1-5,10,17H","BPZDACWQGFWOAQ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.76
"16275","O=[N+]([O-])C1(=CC(=C(NN=C(C#N)C#N)C=C1)C)","CC1C=C(C=CC=1N=NC(C#N)C#N)[N+]([O-])=O","InChI=1S/C10H7N5O2/c1-7-4-9(15(16)17)2-3-10(7)14-13-8(5-11)6-12/h2-4,8H,1H3","FOCDHQDHFYGVDG-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.74
"16965","O=[N+]([O-])C1(=C([N+](=O)[O-])C=C2(C=NNC2(=C1)))","[O-][N+](=O)C1C=C2C=NNC2=CC=1[N+]([O-])=O","InChI=1S/C7H4N4O4/c12-10(13)6-1-4-3-8-9-5(4)2-7(6)11(14)15/h1-3H,(H,8,9)","TXKLPRHOQGGDQY-UHFFFAOYSA-N","?","20","potentiometric","a1/thermodynamic","NH2+","basic",-0.73
"14634","ClC1(=C(Cl)C=CC=C1NN=C(C#N)C#N)","N#CC(C#N)N=NC1=CC=CC(Cl)=C1Cl","InChI=1S/C9H4Cl2N4/c10-7-2-1-3-8(9(7)11)15-14-6(4-12)5-13/h1-3,6H","LGJRUIATGITKJJ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.71
"12932","O=C(O)C1(=NC=CN=C1)","OC(=O)C1C=NC=CN=1","InChI=1S/C5H4N2O2/c8-5(9)4-3-6-1-2-7-4/h1-3H,(H,8,9)","NIPZZXUFJPQHNH-UHFFFAOYSA-N","?",,"potentiometric","a1/apparent","?","basic",-0.7
"11541","O=C(OC)C1(=NC=CC=N1)","COC(=O)C1N=CC=CN=1","InChI=1S/C6H6N2O2/c1-10-6(9)5-7-3-2-4-8-5/h2-4H,1H3","JOQJEWAXHQDQAG-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",-0.68
"14632","ClC1(=C(NN=C(C#N)C#N)C(Cl)=CC=C1)","N#CC(C#N)N=NC1C(Cl)=CC=CC=1Cl","InChI=1S/C9H4Cl2N4/c10-7-2-1-3-8(11)9(7)15-14-6(4-12)5-13/h1-3,6H","AEQGCSSRAKAFGV-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.67
"11227","N1(=NN(N)C(=N1)C2(=CC=CC=C2))","NN1N=NN=C1C1C=CC=CC=1","InChI=1S/C7H7N5/c8-12-7(9-10-11-12)6-4-2-1-3-5-6/h1-5H,8H2","NWOANCZCVIUCTG-UHFFFAOYSA-N","?","25","potentiometric","a/apparent","?","basic",-0.62
"16279","ClC1(=C(NN=C(C#N)C#N)C=CC(=C1)[N+](=O)[O-])","N#CC(C#N)N=NC1C=CC(=CC=1Cl)[N+]([O-])=O","InChI=1S/C9H4ClN5O2/c10-8-3-7(15(16)17)1-2-9(8)14-13-6(4-11)5-12/h1-3,6H","ZUDGKODXCIFNPR-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.62
"15321","O=[N+]([O-])C3(=CC=C(C=2(OC(C1(=CC=CC=C1))=CN=2))C=C3)","[O-][N+](=O)C1C=CC(=CC=1)C1=NC=C(O1)C1C=CC=CC=1","InChI=1S/C15H10N2O3/c18-17(19)13-8-6-12(7-9-13)15-16-10-14(20-15)11-4-2-1-3-5-11/h1-10H","GNQWDFZVBSNVSN-UHFFFAOYSA-N","?","25","spectrophotometric","b1/apparent","?","basic",-0.61
"13991","[NH+]2(=C1(N(C=NC1=C(N)N=C2)C))","CN1C=NC2C(N)=NC=NC1=2","InChI=1S/C6H7N5/c1-11-3-10-4-5(7)8-2-9-6(4)11/h2-3H,1H3,(H2,7,8,9)","WRXCXOUDSPTXNX-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","?","basic",-0.59
"14736","O=CC","C=CO","InChI=1S/C2H4O/c1-2-3/h2-3H,1H2","IMROMDMJAWUWLK-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.57
"12797","S1(C(C(=O)O)=CC=C1C)","CC1=CC=C(S1)C(O)=O","InChI=1S/C6H6O2S/c1-4-2-3-5(9-4)6(7)8/h2-3H,1H3,(H,7,8)","VCNGNQLPFHVODE-UHFFFAOYSA-N","?","25","potentiometric","a1/apparent","COOH","basic",-0.57
"13311","[NH+]2(=CC=C(N1(CCC(C)CC1))C=C2)","CC1CCN(CC1)C1C=CN=CC=1","InChI=1S/C11H16N2/c1-10-4-8-13(9-5-10)11-2-6-12-7-3-11/h2-3,6-7,10H,4-5,8-9H2,1H3","FGWQRDGADJMULT-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.56
"10049","O=C(O)C=1(OC=CC=1)","OC(=O)C1=CC=CO1","InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)","SMNDYUVBFMFKNZ-UHFFFAOYSA-N","?","28",,"a1/apparent","COO-H","basic",-0.53
"13836","[NH+]2(=CC=C(N1(CCCC1))C=C2)","C1CCCN1C1C=CN=CC=1","InChI=1S/C9H12N2/c1-2-8-11(7-1)9-3-5-10-6-4-9/h3-6H,1-2,7-8H2","RGUKYNXWOWSRET-UHFFFAOYSA-N","?","25","spectrophotometric","a1/apparent","?","basic",-0.53
"15007","O3(C(CN(C1(=CC=C(C)C=C1))CC2(OC2))C3)","CC1=CC=C(C=C1)N(CC1CO1)CC1CO1","InChI=1S/C13H17NO2/c1-10-2-4-11(5-3-10)14(6-12-8-15-12)7-13-9-16-13/h2-5,12-13H,6-9H2,1H3","GTYAMROJMXVPHD-UHFFFAOYSA-N","?","20","spectrophotometric","b1/apparent","NH%+&","basic",-0.48
"13113","O=C(C1(=NC=CC=C1))C","C=C(O)C1C=CC=CN=1","InChI=1S/C7H7NO/c1-6(9)7-4-2-3-5-8-7/h2-5,9H,1H2","CLUPMXZISUFRFS-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",-0.46
"17871","FC1(=NC=CC=C1)","FC1C=CC=CN=1","InChI=1S/C5H4FN/c6-5-3-1-2-4-7-5/h1-4H","MTAODLNXWYIKSO-UHFFFAOYSA-N","?","25","spectrophotometric","a/thermodynamic","NHE+","basic",-0.44
"17191","O3(C(CN(C1(=CC=CC=C1))CC2(OC2))C3)","C(C1CO1)N(CC1CO1)C1C=CC=CC=1","InChI=1S/C12H15NO2/c1-2-4-10(5-3-1)13(6-11-8-14-11)7-12-9-15-12/h1-5,11-12H,6-9H2","JAYXSROKFZAHRQ-UHFFFAOYSA-N","?","20","spectrophotometric","b1/apparent","NH%+&","basic",-0.4
"10737","O=[N+]([O-])C1(=CC=C(NCO)C=C1)","[O-][N+](=O)C1C=CC(=CC=1)NCO","InChI=1S/C7H8N2O3/c10-5-8-6-1-3-7(4-2-6)9(11)12/h1-4,8,10H,5H2","VHCAVXZFPGZWEQ-UHFFFAOYSA-N","?","25","spectrophotometric","a1/thermodynamic","?","basic",-0.33
"10277","ONC1(=CC=CC=C1)","ONC1C=CC=CC=1","InChI=1S/C6H7NO/c8-7-6-4-2-1-3-5-6/h1-5,7-8H","CKRZKMFTZCFYGB-UHFFFAOYSA-N","?","25","mean from 2","a1/apparent","N-O","basic",-0.32
"10710","S(C1(=CC([N+](=O)[O-])=C(N)C=C1))C","CSC1=CC(=C(N)C=C1)[N+]([O-])=O","InChI=1S/C7H8N2O2S/c1-12-5-2-3-6(8)7(4-5)9(10)11/h2-4H,8H2,1H3","LWFOZCFJVOGQAM-UHFFFAOYSA-N","?","30","spectrophotometric","a1/apparent","?","basic",-0.28
"10093","N#CC1(=NC=CC=C1)","N#CC1C=CC=CN=1","InChI=1S/C6H4N2/c7-5-6-3-1-2-4-8-6/h1-4H","FFNVQNRYTPFDDP-UHFFFAOYSA-N","?",,"spectrophotometric","a/apparent","?","basic",-0.26
